name	unknotting_number	three_genus	bridge_index	braid_index	signature	alexander_polynomial	jones_polynomial	homfly_polynomial	determinant	volume
Name	Unknotting Number	Genus	Bridge Index	Braid Index	Signature	Alexander	Jones	HOMFLY	Determinant	Volume
12n_797	2	2	3	5	-2	3-15*t+ 23*t^2-15*t^3+ 3*t^4	t-2*t^2+ 5*t^3-7*t^4+ 9*t^5-9*t^6+ 9*t^7-8*t^8+ 5*t^9-3*t^10+ t^11	(3*v^4-2*v^6)+ (v^2+ 4*v^4-3*v^6+ v^10)*z^2+ (-2*v^6-v^8)*z^4	59	14.40647488
12n_798	2	3	3	5	2	1-7*t+ 22*t^2-31*t^3+ 22*t^4-7*t^5+ t^6	-3*t^(-6)+ 7*t^(-5)-11*t^(-4)+ 15*t^(-3)-15*t^(-2)+ 15*t^(-1)-12+ 8*t-4*t^2+ t^3	(-2*v^(-6)+ 3*v^(-4))+ (2*v^(-4)+ 2*v^(-2)-2+ v^2)*z^2+ (-v^(-4)+ 2*v^(-2)-2)*z^4+ (v^(-2))*z^6	91	16.47577813
12n_799	[1, 2]	3	3	5	-2	2-13*t+ 32*t^2-41*t^3+ 32*t^4-13*t^5+ 2*t^6	2*t^(-1)-6+ 13*t-18*t^2+ 22*t^3-23*t^4+ 20*t^5-16*t^6+ 10*t^7-4*t^8+ t^9	(2-2*v^2+ 2*v^4-2*v^6+ v^8)+ (2-7*v^2+ 7*v^4-5*v^6+ v^8)*z^2+ (-4*v^2+ 6*v^4-3*v^6)*z^4+ (2*v^4)*z^6	135	18.59088591
12n_800	[1, 2]	4	3	4	2	1-5*t+ 13*t^2-24*t^3+ 29*t^4-24*t^5+ 13*t^6-5*t^7+ t^8	t^(-7)-5*t^(-6)+ 10*t^(-5)-15*t^(-4)+ 19*t^(-3)-19*t^(-2)+ 18*t^(-1)-14+ 9*t-4*t^2+ t^3	(-v^(-6)+ 2*v^(-4)-v^(-2)+ 1)+ (4*v^(-4)-6*v^(-2)+ 3)*z^2+ (3*v^(-4)-9*v^(-2)+ 3)*z^4+ (v^(-4)-5*v^(-2)+ 1)*z^6+ (-v^(-2))*z^8	115	17.6063168
12n_801	2	2	3	4	-2	1-5*t+ 7*t^2-5*t^3+ t^4	t^2+ t^3-t^4+ 2*t^5-3*t^6+ 3*t^7-4*t^8+ 3*t^9-2*t^10+ t^11	(4*v^4-3*v^6-v^8+ v^10)+ (5*v^4-3*v^6-2*v^8+ v^10)*z^2+ (v^4-v^6-v^8)*z^4	19	11.42403959
12n_802	[1, 2]	4	3	4	0	1-5*t+ 14*t^2-25*t^3+ 31*t^4-25*t^5+ 14*t^6-5*t^7+ t^8	-2*t^(-5)+ 6*t^(-4)-11*t^(-3)+ 16*t^(-2)-19*t^(-1)+ 21-18*t+ 14*t^2-9*t^3+ 4*t^4-t^5	(-v^(-4)+ v^(-2)+ 2-v^2)+ (-v^(-4)+ 6-3*v^2)*z^2+ (-2*v^(-2)+ 9-3*v^2)*z^4+ (-v^(-2)+ 5-v^2)*z^6+ (1)*z^8	121	17.17026955
12n_803	[2, 3]	4	3	4	-4	1-5*t+ 14*t^2-21*t^3+ 23*t^4-21*t^5+ 14*t^6-5*t^7+ t^8	-t^(-1)+ 4-8*t+ 12*t^2-15*t^3+ 18*t^4-16*t^5+ 14*t^6-10*t^7+ 5*t^8-2*t^9	(-v^2+ 3*v^4+ v^6-2*v^8)+ (-2*v^2+ 8*v^4+ v^6-v^8)*z^2+ (-3*v^2+ 9*v^4-2*v^6)*z^4+ (-v^2+ 5*v^4-v^6)*z^6+ (v^4)*z^8	105	16.37279475
12n_804	[1, 2, 3]	4	3	4	-2	1-4*t+ 11*t^2-20*t^3+ 23*t^4-20*t^5+ 11*t^6-4*t^7+ t^8	t^(-3)-3*t^(-2)+ 7*t^(-1)-10+ 14*t-16*t^2+ 15*t^3-13*t^4+ 9*t^5-5*t^6+ 2*t^7	(4-5*v^2+ v^4+ v^6)+ (6-14*v^2+ 3*v^4+ v^6)*z^2+ (4-14*v^2+ 3*v^4)*z^4+ (1-6*v^2+ v^4)*z^6+ (-v^2)*z^8	95	15.18550093
12n_805	[1, 2, 3]	3	3	5	0	2-8*t+ 19*t^2-27*t^3+ 19*t^4-8*t^5+ 2*t^6	t^(-4)-3*t^(-3)+ 7*t^(-2)-10*t^(-1)+ 13-14*t+ 13*t^2-11*t^3+ 7*t^4-4*t^5+ 2*t^6	(2*v^(-2)-1-v^2+ v^6)+ (2*v^(-2)-4-4*v^2+ v^4)*z^2+ (v^(-2)-3-3*v^2+ v^4)*z^4+ (-1-v^2)*z^6	85	14.27049199
12n_806	[3, 4]	3	3	4	-6	4-10*t+ 12*t^2-11*t^3+ 12*t^4-10*t^5+ 4*t^6	t^3-3*t^4+ 7*t^5-8*t^6+ 11*t^7-11*t^8+ 9*t^9-8*t^10+ 4*t^11-t^12	(7*v^8-8*v^10+ 2*v^12)+ (v^6+ 18*v^8-11*v^10)*z^2+ (3*v^6+ 14*v^8-3*v^10)*z^4+ (v^6+ 3*v^8)*z^6	63	15.26568579
